[2018.12.11-00.23.37:978][576]Obj List: 
[2018.12.11-00.23.37:978][576]Objects:
[2018.12.11-00.23.37:978][576]
[2018.12.11-00.25.31:950][576]                                                                                                Class    Count      NumKB      MaxKB   ResExcKB  ResExcDedSysKB  ResExcShrSysKB  ResExcDedVidKB  ResExcShrVidKB     ResExcUnkKB
[2018.12.11-00.25.31:954][576]                                                                                       BackgroundBlur        3       1.34       1.34       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                         SuvCarPawn_C        1       1.24       1.29       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:954][576]                                                                                      AbstractNavData        1       1.27       1.27       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                    PhysicsSerializer        6       1.27       1.27       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                             SubstanceInstanceFactory        2       1.12       1.23  113580.42       113580.42            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                        OptionsMenu_C        2       1.23       1.23       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                               ParticleModuleVelocity        5       1.10       1.20       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                       UInt16Property       10       1.17       1.17       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                          TextureCube        4       1.16       1.16   33856.03            0.00            0.00            0.00            0.00        33856.03
[2018.12.11-00.25.31:955][576]                                                                                               SimHUD        1       1.14       1.15       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                   MaterialExpressionDynamicParameter        2       0.92       1.14       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                               ParticleModuleLifetime        9       1.04       1.13       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                    SkyLightComponent        1       1.13       1.13       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                         AIController        1       1.10       1.10       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                           LevelStreamingAlwaysLoaded        3       1.08       1.08       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                            DirectionalLightComponent        1       1.06       1.06       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                       UInt64Property        9       1.05       1.05       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                       AirSimGameMode        1       1.03       1.03       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                              SizeBox        3       1.01       1.03       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                      BP_Sky_Sphere_C        1       1.03       1.03       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                          PlayerState        1       1.01       1.02       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                     ParticleModuleColorScaleOverLife        3       1.00       1.01       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                   GameNetworkManager        1       0.99       0.99       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                        GameplayDebuggerPlayerManager        1       0.92       0.99       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                   CullDistanceVolume        1       0.98       0.98       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                  BP_CameraDirector_C        1       0.98       0.98       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                   GameplayDebuggerCategoryReplicator        1       0.97       0.97       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                         AssetManager        1       0.96       0.96       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                        GameStateBase        1       0.93       0.95       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                       ParticleModuleSizeMultiplyLife        5       0.94       0.95       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                            LandscapeGizmoActiveActor        1       0.94       0.94       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                 DefaultPhysicsVolume        1       0.93       0.93       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                       BlockingVolume        1       0.91       0.91       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                         ScaleBoxSlot        9       0.91       0.91       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                          PlayerStart        1       0.91       0.91       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                          MenuActor_C        1       0.89       0.90       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                             SoundCue        1       0.90       0.90       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                          GameSession        1       0.88       0.88       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                  Intersection_SmallLarge_Blueprint_C        1       0.88       0.88       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                 ExponentialHeightFog        1       0.88       0.88       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                ParticleModuleLocationPrimitiveSphere        3       0.80       0.88       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                             SkyLight        1       0.88       0.88       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                     DirectionalLight        1       0.88       0.88       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                               Main_CityEnvironment_C        1       0.87       0.87       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                         Industrial_C        1       0.87       0.87       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                 ParticleEventManager        1       0.86       0.86       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                        ExponentialHeightFogComponent        1       0.80       0.80       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                       ParticleSystem        2       0.71       0.77       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                   LazyObjectProperty        6       0.75       0.75       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                               SubstanceGraphInstance        2       0.71       0.73       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                     SoundAttenuation        1       0.73       0.73       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                  GameplayTagsManager        1       0.64       0.71       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:955][576]                                                                                  ParticleModuleColor        3       0.66       0.71       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                             BookMark        8       0.69       0.69       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                               ParticleModuleLocation        4       0.66       0.69       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                           WidgetTree        9       0.63       0.63       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                      InterpGroupInst        8       0.63       0.63       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                 ManualPoseController        1       0.59       0.59       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                               MaterialExpressionLandscapeLayerCoords        2       0.33       0.56       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                          MaterialParameterCollection        3       0.55       0.55       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                     PhysicalMaterial        4       0.53       0.53       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                              ParticleModuleCollision        1       0.47       0.52       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                               ParticleModuleRotation        4       0.47       0.50       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                       SuvBackWheel_C        2       0.48       0.48       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                      SuvFrontWheel_C        2       0.48       0.48       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                      EnvQueryManager        1       0.48       0.48       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                         Int8Property        4       0.47       0.47       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                        Int64Property        4       0.47       0.47       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                       ParticleModuleParameterDynamic        1       0.41       0.45       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                          LocalPlayer        1       0.45       0.45       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                  ParticleModuleSubUV        3       0.40       0.42       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                         SoundNodeModulatorContinuous        3       0.40       0.42       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                           TireConfig        4       0.41       0.41       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                              Console        1       0.34       0.40       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                   ParticleModuleAccelerationConstant        5       0.39       0.39       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                           ParticleModuleCollisionGPU        2       0.38       0.38       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                  ParticleModuleLight        1       0.34       0.37       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                      DistributionVectorConstantCurve        2       0.36       0.36       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                     TimelineTemplate        2       0.36       0.36       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                 LevelStreamingKismet        1       0.36       0.36       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                         CrowdManager        1       0.35       0.35       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                        Int16Property        3       0.35       0.35       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                  SoundNodeWavePlayer        3       0.35       0.35       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                             LandscapeLayerInfoObject        4       0.34       0.34       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                      GameplayDebuggerLocalController        1       0.31       0.31       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                          SizeBoxSlot        3       0.30       0.30       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                   AIPerceptionSystem        1       0.30       0.30       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                            OnlineEngineInterfaceImpl        1       0.30       0.30       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                             AISystem        1       0.30       0.30       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                 DeviceProfileManager        1       0.28       0.30       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                          PaperSprite        1       0.29       0.29       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                        ScrollBoxSlot        3       0.28       0.28       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                         GameInstance        1       0.26       0.28       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                        ShaderPlatformQualitySettings        4       0.28       0.28       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                           InputActionDelegateBinding        2       0.28       0.28       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                             ComponentDelegateBinding        2       0.27       0.27       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                     GameUserSettings        1       0.27       0.27       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                                     AvoidanceManager        1       0.25       0.25       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                           ParticleModuleRotationRate        2       0.23       0.25       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                     ParticleModuleEventReceiverSpawn        1       0.24       0.25       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                              SoundNodeParamCrossFade        1       0.17       0.18       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:956][576]                                                                             InputAxisDelegateBinding        1       0.16       0.16       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                                 PaperTerrainMaterial        1       0.14       0.15       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                                           SoundClass        1       0.13       0.13       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                                         CheatManager        1       0.13       0.13       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                       AndroidPermissionCallbackProxy        1       0.13       0.13       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                               ParticleModuleRotationRateMultiplyLife        1       0.13       0.13       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                        MaterialShaderQualitySettings        1       0.13       0.13       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                       DistributionFloatConstantCurve        1       0.13       0.13       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                              InputKeyDelegateBinding        1       0.12       0.12       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                         ParticleModuleEventGenerator        1       0.11       0.11       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                                   GCObjectReferencer        1       0.10       0.10       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                           CameraModifier_CameraShake        1       0.10       0.10       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                                  NavLocalGridManager        1       0.09       0.09       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                           DistributionVectorConstant        1       0.09       0.09       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                                  BehaviorTreeManager        1       0.09       0.09       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                                        MediaPlaylist        1       0.07       0.07       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                              PhysicsCollisionHandler        1       0.07       0.07       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                    ParticleModuleOrientationAxisLock        1       0.06       0.06       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]                                                                                        OnlineSession        1       0.05       0.05       0.00            0.00            0.00            0.00            0.00            0.00
[2018.12.11-00.25.31:957][576]
[2018.12.11-00.25.31:957][576]127693 Objects (Total: 233.103M / Max: 268.983M / Res: 1966.290M | ResDedSys: 576.791M / ResShrSys: 0.000M / ResDedVid: 0.000M / ResShrVid: 0.000M / ResUnknown: 1389.499M)
[2018.12.11-00.25.32:004][576]LogRenderer: Reallocating scene render targets to support 256x144 Format 10 NumSamples 1 (Frame:35584).
[2018.12.11-00.25.32:086][576]LogRenderer: Reallocating scene render targets to support 1672x940 Format 9 NumSamples 1 (Frame:35584).
[2018.12.11-00.25.32:617][582]LogScriptCore: Warning: Script Msg: Attempted to access index 0 from array 'CallFunc_GetAllAirSimVehicles_Info' of length 0 in '/Game/Wilson/BaseBP/SpawningFuncLibrary.SpawningFuncLibrary_C:GetClosestAirsimVehicle'!
